iter	Passed	Remaining
0	23	9505
1	47	9458
2	70	9288
3	92	9191
4	114	9038
5	136	8994
6	159	8947
7	181	8881
8	203	8840
9	225	8806
10	247	8739
11	269	8726
12	292	8693
13	313	8646
14	337	8652
15	359	8626
16	380	8578
17	403	8572
18	425	8539
19	447	8508
20	470	8493
21	493	8478
22	515	8447
23	538	8434
24	560	8404
25	582	8377
26	604	8355
27	626	8322
28	648	8300
29	672	8297
30	694	8267
31	716	8243
32	739	8219
33	760	8190
34	783	8167
35	806	8153
36	826	8112
37	849	8090
38	873	8083
39	895	8063
40	919	8050
41	940	8020
42	963	7995
43	985	7972
44	1006	7941
45	1029	7925
46	1052	7905
47	1074	7876
48	1098	7868
49	1124	7874
50	1150	7875
51	1176	7875
52	1199	7852
53	1220	7822
54	1242	7795
55	1265	7772
56	1287	7747
57	1309	7720
58	1332	7698
59	1353	7671
60	1375	7644
61	1397	7619
62	1419	7591
63	1441	7565
64	1463	7543
65	1485	7516
66	1507	7494
67	1529	7468
68	1551	7441
69	1573	7415
70	1595	7392
71	1617	7368
72	1639	7344
73	1661	7321
74	1683	7294
75	1706	7273
76	1728	7251
77	1750	7224
78	1773	7204
79	1795	7181
80	1817	7157
81	1840	7135
82	1864	7119
83	1886	7095
84	1908	7074
85	1931	7051
86	1953	7028
87	1976	7007
88	1998	6982
89	2022	6964
90	2045	6944
91	2065	6915
92	2089	6896
93	2111	6873
94	2133	6848
95	2156	6828
96	2178	6805
97	2200	6782
98	2223	6759
99	2244	6734
100	2267	6712
101	2290	6691
102	2312	6668
103	2334	6645
104	2357	6623
105	2378	6597
106	2401	6576
107	2423	6553
108	2445	6528
109	2467	6505
110	2490	6484
111	2511	6458
112	2533	6434
113	2556	6412
114	2577	6387
115	2599	6364
116	2621	6341
117	2643	6317
118	2665	6295
119	2689	6274
120	2712	6255
121	2735	6233
122	2757	6209
123	2780	6188
124	2803	6167
125	2824	6142
126	2847	6120
127	2869	6098
128	2891	6074
129	2914	6053
130	2937	6031
131	2959	6008
132	2982	5987
133	3004	5964
134	3026	5941
135	3050	5920
136	3072	5898
137	3095	5876
138	3117	5852
139	3138	5828
140	3161	5806
141	3183	5783
142	3205	5760
143	3227	5738
144	3250	5716
145	3272	5692
146	3294	5670
147	3317	5647
148	3337	5622
149	3360	5600
150	3382	5577
151	3404	5554
152	3427	5533
153	3449	5509
154	3470	5485
155	3491	5460
156	3513	5438
157	3535	5414
158	3558	5393
159	3582	5373
160	3607	5354
161	3633	5338
162	3658	5319
163	3681	5298
164	3704	5275
165	3726	5253
166	3751	5233
167	3773	5211
168	3796	5189
169	3817	5165
170	3840	5142
171	3862	5120
172	3884	5096
173	3906	5073
174	3928	5051
175	3950	5028
176	3972	5005
177	3994	4982
178	4017	4960
179	4040	4938
180	4062	4914
181	4084	4892
182	4106	4869
183	4129	4847
184	4152	4825
185	4174	4803
186	4196	4779
187	4218	4756
188	4239	4733
189	4262	4711
190	4284	4688
191	4307	4666
192	4332	4646
193	4357	4626
194	4380	4605
195	4409	4589
196	4431	4566
197	4453	4543
198	4475	4520
199	4497	4497
200	4520	4475
201	4541	4452
202	4563	4428
203	4585	4405
204	4608	4383
205	4632	4362
206	4655	4340
207	4678	4318
208	4701	4296
209	4725	4275
210	4751	4256
211	4778	4237
212	4810	4223
213	4835	4203
214	4857	4179
215	4879	4157
216	4902	4134
217	4925	4111
218	4948	4089
219	4970	4066
220	4992	4044
221	5015	4021
222	5039	4000
223	5062	3977
224	5084	3954
225	5106	3931
226	5128	3908
227	5152	3887
228	5175	3864
229	5197	3841
230	5219	3818
231	5242	3795
232	5264	3772
233	5286	3750
234	5309	3728
235	5332	3705
236	5358	3685
237	5380	3662
238	5406	3642
239	5435	3623
240	5464	3605
241	5487	3583
242	5510	3560
243	5534	3538
244	5557	3515
245	5580	3493
246	5602	3470
247	5625	3447
248	5647	3424
249	5668	3400
250	5692	3379
251	5715	3356
252	5736	3333
253	5759	3310
254	5781	3287
255	5804	3265
256	5825	3241
257	5848	3218
258	5870	3195
259	5892	3173
260	5915	3150
261	5938	3128
262	5963	3106
263	5986	3083
264	6010	3061
265	6033	3039
266	6056	3016
267	6078	2993
268	6102	2971
269	6126	2949
270	6147	2926
271	6170	2903
272	6193	2881
273	6216	2858
274	6239	2835
275	6260	2812
276	6283	2790
277	6305	2767
278	6327	2744
279	6350	2721
280	6373	2699
281	6395	2676
282	6419	2653
283	6442	2631
284	6465	2609
285	6487	2586
286	6508	2562
287	6532	2540
288	6554	2517
289	6576	2494
290	6599	2471
291	6624	2450
292	6648	2427
293	6670	2404
294	6692	2381
295	6715	2359
296	6739	2337
297	6762	2314
298	6786	2292
299	6808	2269
300	6834	2247
301	6856	2225
302	6880	2202
303	6904	2180
304	6927	2157
305	6952	2135
306	6975	2113
307	6998	2090
308	7021	2067
309	7043	2044
310	7067	2022
311	7090	1999
312	7113	1977
313	7135	1954
314	7157	1931
315	7179	1908
316	7202	1885
317	7225	1863
318	7249	1840
319	7270	1817
320	7292	1794
321	7314	1771
322	7336	1748
323	7358	1726
324	7410	1710
325	7454	1692
326	7490	1672
327	7513	1649
328	7541	1627
329	7565	1604
330	7592	1582
331	7617	1560
332	7640	1537
333	7663	1514
334	7688	1491
335	7712	1468
336	7736	1446
337	7761	1423
338	7785	1400
339	7811	1378
340	7834	1355
341	7856	1332
342	7877	1309
343	7899	1285
344	7922	1263
345	7945	1240
346	7968	1217
347	7992	1194
348	8015	1171
349	8037	1148
350	8060	1125
351	8082	1102
352	8105	1079
353	8129	1056
354	8153	1033
355	8175	1010
356	8198	987
357	8220	964
358	8243	941
359	8264	918
360	8287	895
361	8310	872
362	8332	849
363	8356	826
364	8378	803
365	8401	780
366	8424	757
367	8445	734
368	8466	711
369	8489	688
370	8512	665
371	8535	642
372	8557	619
373	8580	596
374	8604	573
375	8627	550
376	8659	528
377	8680	505
378	8703	482
379	8724	459
380	8748	436
381	8769	413
382	8792	390
383	8815	367
384	8841	344
385	8866	321
386	8891	298
387	8916	275
388	8941	252
389	8967	229
390	8994	207
391	9018	184
392	9042	161
393	9065	138
394	9088	115
395	9113	92
396	9136	69
397	9159	46
398	9182	23
399	9203	0
